X,Y,Z,SIGNAL_STRENGTH
0,27,860,60
0,53,711,40
0,84,717,60
0,113,705,45
0,299,1015,40
0,362,927,30
0,355,716,60
0,399,724,70
0,570,776,30
0,645,804,40
0,691,722,40
0,292,76,70
0,295,74,191
0,295,71,191
0,299,59,35
0,298,46,70
0,299,43,191
0,300,41,191
0,299,38,199
0,297,35,191
0,297,33,191
0,301,30,191
0,380,21,40
0,386,6,60
0,392,-6,84
0,393,-10,175
0,405,-28,55
0,408,-33,159
0,409,-38,167
0,371,-48,70
0,312,-49,98
0,293,-49,167
0,280,-50,175
0,264,-50,175
0,255,-50,183
0,248,-51,191
0,110,-26,98
0,103,-25,183
0,102,-26,183
0,98,-26,183
0,97,-27,183
0,92,-26,191
0,88,-26,175
0,85,-26,167
0,81,-28,84
0,77,-29,84
0,71,-30,84
0,65,-29,84
0,62,-30,98
0,53,-26,175
0,54,-28,167
0,57,-30,175
0,54,-29,175
0,53,-30,183
0,52,-30,191
0,55,-32,183
0,47,-28,175
0,50,-30,183
0,48,-29,183
0,49,-31,183
0,50,-33,183
0,47,-31,191
0,45,-30,183
0,44,-30,175
0,38,-27,175
0,43,-31,175
0,43,-31,167
0,45,-34,175
0,44,-34,159
0,41,-32,159
0,37,-29,159
0,39,-33,159
0,39,-33,159
0,38,-34,84
0,34,-33,70
0,-32,-32,183
0,-34,-33,175
0,-37,-35,183
0,-36,-34,183
0,-38,-35,183
0,-37,-34,183
0,-41,-37,183
0,-38,-34,191
0,-38,-33,183
0,-38,-32,183
0,-40,-33,183
-1,-43,-35,183
-1,-45,-35,183
-1,-46,-36,183
-1,-44,-34,183
-1,-48,-36,183
-1,-47,-34,191
-1,-46,-33,183
-1,-50,-35,183
-1,-50,-35,183
-1,-49,-33,183
-1,-53,-35,183
-1,-51,-33,183
-1,-56,-36,183
-1,-53,-34,191
-1,-57,-35,191
-1,-60,-36,175
-1,-60,-36,183
-1,-60,-34,183
-1,-61,-34,167
-1,-58,-32,183
-1,-69,-37,167
-1,-71,-37,167
-1,-68,-34,167
-1,-73,-36,159
-1,-77,-37,167
-1,-77,-36,167
-1,-77,-35,175
-1,-78,-34,167
-1,-81,-35,183
-1,-81,-34,183
-1,-84,-34,183
-1,-90,-35,183
-1,-94,-36,183
-1,-98,-37,183
-1,-98,-35,183
-1,-104,-36,191
-1,-107,-37,191
-1,-111,-37,191
-1,-111,-36,191
-1,-117,-37,191
-1,-124,-38,191
-2,-128,-37,191
-2,-134,-38,191
-2,-139,-38,191
-2,-142,-38,191
-2,-148,-38,191
-2,-157,-39,183
-2,-165,-39,191
-2,-178,-40,191
-2,-188,-41,191
-2,-206,-43,191
-2,-204,-41,199
-2,-204,-39,199
-2,-205,-37,199
-2,-204,-35,199
-2,-205,-33,199
-2,-204,-32,199
-2,-205,-30,199
-2,-204,-28,199
-2,-202,-27,199
-2,-205,-25,199
-2,-205,-24,199
-2,-203,-23,199
-2,-203,-21,199
-2,-205,-20,199
-2,-205,-18,199
-2,-203,-16,199
-2,-203,-15,199
-2,-204,-13,199
-2,-204,-12,199
-2,-206,-10,199
-2,-206,-9,199
-2,-206,-7,199
-2,-204,-6,199
-2,-207,-4,199
-2,-207,-3,199
-2,-207,-1,199
-2,-207,1,199
-2,-207,2,199
-2,-207,4,199
-2,-208,5,199
-2,-207,7,199
-2,-211,9,191
-2,-209,11,199
-2,-210,13,199
-2,-209,15,199
-2,-209,16,199
-2,-207,18,199
-2,-209,20,191
-2,-208,21,191
-2,-210,23,191
-2,-209,25,191
