X,Y,Z,SIGNAL_STRENGTH
0,9,890,40
0,14,933,48
0,19,878,64
0,23,848,40
0,30,884,56
0,37,929,48
0,44,954,56
0,48,941,56
0,69,1009,32
0,82,1016,32
0,90,1039,64
0,95,1027,64
0,106,1077,40
0,126,1199,32
0,128,996,32
0,144,1066,48
0,135,964,64
0,133,905,48
0,138,905,56
0,160,1009,32
0,168,945,48
0,177,966,40
0,185,974,40
0,186,949,56
0,197,946,40
0,205,961,48
0,283,1251,24
0,290,1249,48
0,268,969,40
0,187,619,32
0,351,920,40
0,358,923,32
0,363,920,72
0,381,935,48
0,385,927,56
0,385,913,32
0,396,925,48
0,401,920,56
0,392,884,32
0,405,899,48
0,443,955,32
0,433,919,40
0,467,960,40
0,922,1065,32
0,926,987,40
0,938,986,40
0,950,977,40
0,939,943,24
0,1005,917,32
0,1019,908,48
0,1063,937,48
0,1091,951,24
0,1010,827,32
0,1110,855,32
0,1076,811,24
0,1082,718,40
0,1080,700,56
0,1068,638,56
0,1065,629,40
0,1210,676,48
0,1242,685,48
0,1349,624,16
0,892,370,64
0,886,354,32
0,908,358,64
0,926,358,64
0,907,344,40
0,915,341,64
0,919,337,64
0,908,327,32
0,889,314,56
0,903,308,56
0,916,300,64
0,916,294,72
0,906,285,64
0,920,284,56
0,888,268,32
0,912,270,56
0,912,264,32
0,911,258,64
0,891,246,40
0,917,248,32
0,918,242,64
0,910,234,40
0,865,212,72
0,862,195,48
0,854,188,48
0,807,172,48
0,795,165,32
0,801,161,40
0,841,164,32
0,783,149,64
0,788,144,40
0,751,133,40
0,738,127,56
0,712,118,48
0,698,111,48
0,692,106,56
0,688,101,48
0,678,95,40
0,349,47,64
0,356,46,80
0,355,44,80
0,354,41,80
0,350,39,80
0,344,37,80
0,348,35,80
0,327,31,80
0,310,27,80
0,307,25,80
0,307,23,80
0,303,21,80
0,301,19,80
0,302,18,80
0,299,16,80
0,294,14,80
0,291,12,80
0,280,10,88
0,276,8,80
0,261,6,80
0,258,5,88
0,254,3,88
0,250,2,88
0,252,0,88
0,250,-1,88
0,250,-3,88
0,248,-4,88
0,241,-6,88
0,239,-7,88
0,241,-8,88
0,240,-10,88
0,236,-11,88
0,215,-11,80
0,202,-12,80
0,197,-13,88
0,193,-14,88
0,185,-14,88
0,177,-15,88
0,171,-15,88
0,166,-16,88
0,162,-16,88
0,160,-17,88
0,157,-18,88
0,154,-18,88
0,152,-19,88
0,148,-19,96
0,145,-20,96
0,145,-21,96
0,144,-21,88
0,140,-22,88
0,139,-22,88
0,138,-23,88
0,137,-24,88
0,134,-24,96
0,125,-23,88
0,122,-23,96
0,120,-24,88
0,121,-25,88
0,120,-25,88
0,117,-25,96
0,112,-25,88
0,109,-25,88
0,108,-25,88
0,109,-26,88
0,106,-26,88
0,108,-27,88
0,104,-27,88
0,102,-27,88
0,102,-28,88
0,102,-28,88
0,98,-28,88
0,100,-29,88
0,96,-28,80
0,96,-29,80
0,91,-28,80
0,93,-29,80
0,91,-29,80
0,86,-28,72
0,79,-26,72
0,81,-28,72
0,81,-28,72
0,76,-27,72
0,80,-29,80
0,76,-28,72
0,76,-28,72
0,72,-27,72
0,75,-29,72
0,72,-28,72
0,64,-26,72
0,69,-28,80
0,71,-30,64
0,71,-30,72
0,70,-30,72
0,64,-28,72
0,70,-31,72
0,64,-29,72
0,61,-28,72
0,69,-32,80
0,62,-29,72
0,62,-30,72
0,58,-28,72
0,61,-30,72
0,63,-31,72
0,61,-31,72
0,59,-30,72
0,59,-31,72
0,56,-30,80
0,64,-35,72
0,55,-30,80
0,53,-30,80
0,51,-29,80
0,52,-30,80
0,52,-30,80
0,51,-30,80
0,52,-31,80
0,48,-29,80
0,49,-30,80
0,49,-30,80
0,48,-30,80
0,46,-29,80
0,50,-32,80
0,45,-29,80
0,47,-31,80
0,46,-31,80
0,46,-31,80
0,45,-30,80
0,43,-30,80
0,45,-32,80
0,42,-30,80
0,44,-32,72
0,40,-29,80
0,39,-29,72
0,42,-32,72
0,40,-30,80
0,38,-29,80
0,37,-29,72
0,39,-31,72
0,40,-32,72
0,40,-32,72
0,40,-33,72
0,39,-32,72
0,43,-36,64
0,37,-32,72
0,39,-33,72
0,38,-33,72
0,38,-34,72
0,37,-33,72
0,37,-33,72
0,36,-32,72
0,30,-27,72
0,29,-27,72
0,29,-27,72
0,41,-39,72
0,29,-28,80
0,32,-31,72
0,34,-33,72
0,28,-28,72
0,-33,-33,80
0,-37,-37,72
0,-37,-36,80
0,-35,-33,80
0,-36,-34,80
0,-39,-37,80
0,-38,-35,72
0,-38,-34,80
0,-38,-34,80
0,-41,-37,80
0,-39,-34,80
0,-38,-34,80
0,-39,-34,80
0,-41,-35,80
0,-41,-35,80
0,-41,-34,80
0,-42,-34,80
0,-40,-33,80
0,-44,-35,80
0,-43,-34,80
0,-45,-35,88
0,-45,-35,88
0,-44,-33,80
0,-45,-34,80
0,-44,-33,80
0,-44,-33,88
0,-45,-33,80
0,-47,-34,80
0,-44,-31,80
0,-47,-33,88
0,-48,-33,80
0,-51,-35,80
0,-52,-35,80
0,-53,-36,80
0,-50,-33,80
0,-54,-36,80
0,-55,-36,80
0,-57,-36,80
0,-55,-35,80
0,-58,-36,80
0,-59,-36,88
0,-57,-35,72
0,-58,-34,80
0,-59,-35,80
0,-62,-36,80
0,-60,-34,80
0,-60,-34,80
0,-59,-33,72
0,-68,-37,80
0,-62,-34,72
0,-67,-36,72
0,-67,-35,80
0,-70,-36,72
0,-69,-35,72
0,-71,-36,72
0,-66,-33,72
0,-71,-35,72
0,-74,-36,64
0,-72,-34,72
0,-80,-37,72
0,-75,-35,72
0,-78,-36,72
0,-83,-37,72
0,-84,-37,80
0,-83,-36,80
-1,-88,-38,80
-1,-92,-39,80
-1,-89,-37,80
-1,-94,-38,80
-1,-95,-38,80
-1,-96,-38,80
-1,-97,-37,80
-1,-103,-39,88
-1,-102,-38,88
-1,-104,-38,88
-1,-107,-39,88
-1,-115,-41,88
-1,-129,-45,88
-1,-139,-47,88
-1,-144,-48,88
-1,-147,-48,88
-1,-156,-50,88
-1,-173,-54,88
-1,-179,-55,88
-1,-183,-55,88
-1,-188,-55,88
-1,-205,-59,88
-1,-236,-67,80
-2,-285,-79,64
-2,-377,-102,72
-2,-416,-110,80
-3,-444,-114,72
-3,-460,-116,72
-3,-494,-121,72
-3,-516,-123,64
-3,-548,-128,56
-5,-770,-175,24
-5,-835,-184,32
-14,-2418,-71,24
-20,-3369,560,16
-6,-1092,221,32
-6,-1095,228,48
-6,-1093,235,48
-6,-1087,240,32
-6,-990,224,48
-6,-1009,235,64
-6,-1001,239,48
-6,-982,241,48
-6,-992,250,32
-6,-1019,262,48
-6,-1084,329,16
-22,-3716,1394,16
-7,-1234,556,16
-18,-3012,1593,16
-14,-2344,1296,32
-4,-749,524,32
-4,-762,541,32
-4,-723,519,32
-4,-730,530,72
-4,-724,532,56
-4,-697,539,56
-4,-702,549,40
-4,-692,548,40
-4,-686,578,64
-4,-675,575,40
-4,-673,580,64
-4,-624,571,64
-4,-629,582,48
-4,-599,560,40
-3,-576,544,32
-3,-581,556,48
-3,-572,554,64
-3,-588,577,56
-3,-577,572,40
-3,-569,572,72
-3,-535,544,48
-3,-548,562,48
-3,-554,577,40
-4,-610,649,32
-4,-595,641,64
-3,-582,633,56
-4,-627,691,48
-3,-546,617,40
-3,-562,642,40
-3,-561,649,64
-3,-542,635,64
-3,-543,643,64
-3,-537,642,32
-3,-532,645,40
-3,-502,616,72
-3,-507,630,48
-3,-505,635,48
-3,-504,642,40
-3,-518,668,48
-3,-506,710,56
-3,-498,707,56
-3,-496,713,64
-3,-523,866,32
-3,-507,860,48
-3,-492,846,48
-2,-323,596,64
-2,-317,594,64
-3,-457,883,40
-3,-473,925,48
-3,-462,932,56
-3,-446,912,56
-3,-444,921,48
-3,-430,906,48
-2,-369,898,48
-2,-358,885,40
-2,-365,920,32
-2,-369,947,56
-2,-363,965,48
