X,Y,Z,SIGNAL_STRENGTH
0,3,1388,50
0,106,1210,45
0,182,1037,60
0,199,906,45
0,248,940,50
0,300,967,65
0,355,988,60
0,414,1005,65
0,486,1052,55
0,566,1096,55
0,625,1093,40
0,687,1092,50
0,246,363,84
0,239,344,159
0,237,334,175
0,237,327,183
0,236,319,175
0,234,312,183
0,234,305,183
0,235,300,183
0,234,294,183
0,234,289,183
0,237,286,183
0,234,277,191
0,236,274,183
0,234,267,183
0,234,262,183
0,232,255,191
0,230,249,183
0,230,244,183
0,228,237,191
0,230,236,191
0,228,230,183
0,229,226,183
0,226,219,183
0,226,215,183
0,226,211,183
0,226,208,191
0,226,203,191
0,228,201,183
0,224,194,191
0,224,191,191
0,224,187,191
0,224,184,191
0,225,181,191
0,224,177,191
0,224,173,191
0,225,171,191
0,224,167,191
0,225,165,183
0,226,162,183
0,227,160,191
0,227,157,191
0,226,153,191
0,224,149,191
0,226,147,191
0,226,144,191
0,225,140,191
0,225,138,191
0,222,133,191
0,223,131,191
0,222,128,191
0,225,127,191
0,226,125,191
0,224,120,191
0,225,119,191
0,225,116,191
0,226,114,191
0,225,111,191
0,225,108,191
0,225,106,199
0,226,103,191
0,227,101,199
0,228,99,191
0,229,97,191
0,227,94,191
0,229,92,191
0,230,90,191
0,230,88,191
0,231,86,191
0,231,84,191
0,229,81,199
0,228,78,191
0,228,76,191
0,229,74,191
0,231,73,191
0,230,70,191
0,227,67,199
0,228,65,191
0,227,63,191
0,227,61,199
0,227,59,191
0,227,57,191
0,228,55,191
0,227,52,199
0,227,50,199
0,227,48,191
0,227,46,191
0,230,45,191
0,226,42,191
0,229,40,191
0,227,38,191
0,229,36,199
0,228,34,199
0,230,32,199
0,230,30,199
0,230,28,199
0,231,26,191
0,226,23,191
0,221,21,191
0,222,19,191
0,222,17,191
0,224,15,191
0,220,13,191
0,217,11,191
0,218,9,191
0,217,7,191
0,213,5,191
0,210,3,191
0,211,1,191
0,206,-1,191
0,203,-3,191
0,199,-5,191
0,199,-7,191
0,197,-8,191
0,197,-10,191
0,196,-12,191
0,195,-13,191
0,194,-15,191
0,191,-17,191
0,191,-18,199
0,189,-20,191
0,189,-21,191
0,187,-23,199
0,187,-24,199
0,183,-26,191
0,179,-27,191
0,180,-28,199
0,176,-29,199
0,172,-30,191
0,168,-31,199
0,163,-32,199
0,165,-33,191
0,161,-34,191
0,159,-35,191
0,145,-33,191
0,130,-31,191
0,129,-32,191
0,126,-32,191
0,126,-34,199
0,125,-35,199
0,125,-36,191
0,127,-37,191
0,113,-34,191
0,108,-34,191
0,107,-35,199
0,105,-35,199
0,105,-36,199
0,103,-36,191
0,97,-35,191
0,77,-29,175
0,72,-28,175
0,72,-29,175
0,73,-30,183
0,66,-28,183
0,69,-30,183
0,66,-30,183
0,64,-29,183
0,61,-29,183
0,59,-29,183
0,62,-31,183
0,57,-29,183
0,59,-30,183
0,57,-30,183
0,59,-32,191
0,59,-33,183
0,56,-32,183
0,54,-32,191
0,52,-31,183
0,50,-31,191
0,49,-30,183
0,51,-32,183
0,49,-31,191
0,48,-31,183
0,50,-33,183
0,45,-31,175
0,42,-29,175
0,44,-31,183
0,41,-30,183
0,44,-33,183
0,41,-31,183
0,44,-34,183
0,40,-31,183
0,38,-31,175
0,39,-32,175
0,40,-33,167
0,44,-38,159
0,38,-34,159
0,39,-35,159
0,35,-32,159
0,32,-31,98
0,37,-37,175
0,-34,-34,183
0,-35,-33,175
0,-34,-32,175
0,-35,-32,175
0,-36,-32,183
0,-36,-32,183
0,-40,-35,183
0,-39,-34,183
0,-39,-33,183
0,-40,-33,183
0,-40,-32,183
-1,-43,-34,183
-1,-43,-34,183
-1,-44,-34,183
-1,-45,-34,183
-1,-45,-33,191
-1,-48,-35,183
-1,-46,-33,191
-1,-48,-33,183
-1,-50,-34,191
-1,-48,-32,191
-1,-51,-33,183
-1,-51,-33,183
-1,-53,-34,183
-1,-54,-33,191
-1,-54,-33,183
